index,question,answer,response,confidence_score
413,"Consider the country of Benin. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,0.8171128145973781
2104,"Consider the country of Georgia. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",Yes,Yes,0.9509537482317538
6520,"Consider the country of Argentina. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,0.631090465921152
6435,Consider the country of Zimbabwe. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,No,0.6319019243541989
7162,"Consider the country of Dominican Republic. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",No,Yes,0.6437412054371089
8927,"Consider the country of Togo. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,0.918669129681628
3212,"Consider the country of Laos. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,0.7577252314509825
8454,"Consider the country of Peru. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",No,No,0.5240399743748713
8871,"Consider the country of Swaziland. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,0.8682980022557314
6618,"Consider the country of Burundi. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",No,No,0.813875113336544
8525,"Consider the country of Poland. Does the country provide for involuntary loss of citizenship by a person who is adopted by or in legal guardianship of a citizen of another country and, if so, under which conditions?",No,No,0.5136897174211336
4901,Consider the country of Rwanda. Does the country provide for period of residence in a residence-based acquisition?,Yes,No,0.5423239491980879
428,"Consider the country of Benin. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,No,0.6159652124494897
8782,"Consider the country of Sao Tome and Principe. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,No,0.4154503571652458
5569,"Consider the country of Chad. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,No,0.9508720534158056
8736,"Consider the country of El Salvador. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,0.8014310963340686
708,"Consider the country of Belize. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.7301425248970628
5124,"Consider the country of Sierra Leone. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,0.5861607969739707
8847,"Consider the country of Sweden. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,0.6554655519568477
804,"Consider the country of Barbados. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",No,Yes,0.4612455160713289
7532,"Consider the country of Honduras. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,0.6158925651745522
383,Consider the country of Belgium. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,No,0.8500874906370882
3522,"Consider the country of Luxembourg. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,0.0011658114194869995
7957,"Consider the country of Sri Lanka. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,0.7386732442840003
1800,"Consider the country of Estonia. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,0.538868727325229
164,"Consider the country of Argentina. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.5148278634257148
1078,"Consider the country of China. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,0.5109180776426802
1395,"Consider the country of Cyprus. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",No,No,0.4159969675641624
4188,Consider the country of Nigeria. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,0.5398657024546992
9176,"Consider the country of Venezuela. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",No,No,0.40127367484569554
5234,"Consider the country of South Sudan. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,No,0.4104812945686281
1629,"Consider the country of Algeria. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,Yes,0.7395877231424675
3256,"Consider the country of Lebanon. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.32404237226973054
2663,"Consider the country of Iran. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,Yes,0.8294811692067888
284,Consider the country of Austria. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,No,0.560067895204178
932,"Consider the country of Central African Republic. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,No,0.2688506360054016
73,"Consider the country of Albania. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,0.3568202183787362
3782,"Consider the country of Mali. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,0.7119049564208835
7314,"Consider the country of France. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",Yes,No,0.32426073810597883
7437,"Consider the country of Guinea Bissau. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,0.6839958274168603
5088,"Consider the country of Solomon Islands. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,No,0.9758261736822316
2671,"Consider the country of Iran. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,0.5398054645009689
2669,"Consider the country of Iran. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,No,0.5188622161551613
8631,"Consider the country of Rwanda. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,0.9097917049082462
5353,"Consider the country of Slovakia. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,Yes,0.4663698531494011
966,"Consider the country of Canada. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,0.9998883044556716
223,"Consider the country of Antigua and Barbuda. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,Yes,0.32558910633483906
4658,"Consider the country of Poland. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,Yes,0.6300199801246636
7537,"Consider the country of Croatia. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,0.7754671356037726
5435,"Consider the country of Sweden. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,0.524154401463049
4826,"Consider the country of Romania. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,0.7373453660306988
9016,"Consider the country of Tunisia. Does the country provide for involuntary loss of citizenship by a person who acquired or retained citizenship on the condition that he or she renounced another citizenship and it is discovered that the person retains a foreign citizenship and, if so, under which conditions?",No,No,0.6962149821092025
7680,"Consider the country of Israel. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,Yes,0.9610757112321444
7193,"Consider the country of Ecuador. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,0.3164813517625735
6441,"Consider the country of Zimbabwe. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,No,0.11369985359354179
4248,"Consider the country of Netherlands. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,0.5998883044556715
3913,"Consider the country of Mongolia. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,0.6114787338786991
1865,"Consider the country of Ethiopia. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,0.32115535561979053
8644,"Consider the country of Saudi Arabia. Does the country provide for involuntary loss of citizenship by a person whose descent from a citizen is annulled and, if so, under which conditions?",No,No,0.5148682013098733
2721,"Consider the country of Iceland. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,0.41581739931477935
2108,"Consider the country of Ghana. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,Yes,0.7614978959078436
8895,"Consider the country of Syria. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,No,0.27472763647232207
5628,"Consider the country of Tajikistan. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,No,0.2893340911865234
833,"Consider the country of Brunei. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,0.813741586934717
5156,"Consider the country of El Salvador. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,No,0.9112864928192576
5028,"Consider the country of Senegal. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,0.7227114119977923
1096,"Consider the country of Cote dIvoire. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",No,Yes,0.7228086123953108
2398,"Consider the country of Guyana. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",Yes,No,0.6963739700966398
1580,"Consider the country of Denmark. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,0.0003977608680725098
4746,"Consider the country of Portugal. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,Yes,0.4435785749824718
4306,"Consider the country of Norway. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,No,0.463472291370912
2744,"Consider the country of Iceland. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,0.000997186303138733
6420,"Consider the country of Zambia. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",No,No,0.3213408248127671
2690,"Consider the country of Iraq. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",Yes,No,0.5180711209691362
8272,"Consider the country of Namibia. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,0.41797291272995063
8177,"Consider the country of Montenegro. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",Yes,No,0.4467266911920742
1983,"Consider the country of Micronesia. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,No,0.8392182878695312
3775,"Consider the country of Mali. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,0.30456076385825875
8659,"Consider the country of Sudan. Does the country provide for involuntary loss of citizenship by a person whose descent from a citizen is annulled and, if so, under which conditions?",No,No,0.624905122512544
201,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,0.41619528016092955
9134,"Consider the country of United States of America. Does the country provide for involuntary loss of citizenship by a person who commits (criminal) offences (other than those covered in L07) and, if so, under which conditions?",Yes,Yes,0.7388591653897894
8002,"Consider the country of Luxembourg. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,0.7393598885051906
875,"Consider the country of Bhutan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,No,0.8561786842833972
2415,"Consider the country of Honduras. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,0.5832138816118532
6866,"Consider the country of Central African Republic. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",Yes,No,0.9514840383406846
8518,"Consider the country of Poland. Does the country provide for involuntary loss of citizenship by a person who is disloyal to the country, whose conduct is considered treasonous or whose loss of citizenship is otherwise considered to be in the interest of the country and, if so, under which conditions?",No,No,0.7200944957221509
4975,"Consider the country of Sudan. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,No,0.7919708605223569
1457,"Consider the country of Czech Republic. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,0.5390185843298678
6190,"Consider the country of Vietnam. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,No,0.1840774687640369
1250,"Consider the country of Colombia. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.5007814431377919
8108,"Consider the country of Macedonia. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,0.5278788057047059
5040,"Consider the country of Singapore. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,0.32029699320904914
578,"Consider the country of Bahamas. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,0.7147138467160985
991,Consider the country of Switzerland. Does the country provide for period of residence in a residence-based acquisition?,Yes,Yes,0.9510209518503399
8535,"Consider the country of North Korea. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",No,No,0.7895411952250289
8154,"Consider the country of Myanmar. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",No,No,0.30831038673175504
345,"Consider the country of Burundi. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",Yes,No,0.8076427649446997
1102,"Consider the country of Cote dIvoire. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,No,0.2003977608680725
5456,"Consider the country of Swaziland. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,0.8466966826978315
4032,"Consider the country of Mauritius. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",No,Yes,0.3126255948061589
8860,"Consider the country of Swaziland. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,0.8177517597622355
8591,"Consider the country of Romania. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",No,No,0.4252259158902453
7013,"Consider the country of Comoros. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,0.8437832548877924
4711,"Consider the country of North Korea. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,No,0.9011619973315974
3793,"Consider the country of Mali. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,No,0.5016875145065133
3296,"Consider the country of Libya. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,0.5597354393075221
5430,"Consider the country of Sweden. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,Yes,0.5508439567582682
1742,"Consider the country of Eritrea. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,0.6960189329641872
2784,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,Yes,0.9394442957369611
6460,"Consider the country of Afghanistan. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,0.9337923021467869
3050,"Consider the country of Cambodia. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,0.6117739349184559
5768,"Consider the country of Trinidad and Tobago. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,No,0.8434720341891517
6886,"Consider the country of Canada. Does the country provide for involuntary loss of citizenship by a person who acquired or retained citizenship on the condition that he or she renounced another citizenship and it is discovered that the person retains a foreign citizenship and, if so, under which conditions?",No,No,0.20310163998603822
5215,"Consider the country of Serbia. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,Yes,0.5369594529154711
6780,"Consider the country of Bolivia. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",No,No,0.20155463517259342
8153,"Consider the country of Myanmar. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",Yes,No,0.3085846409918158
2896,Consider the country of Japan. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,0.5394361096769571
3076,"Consider the country of Kiribati. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,0.7271788026524592
5728,"Consider the country of Tonga. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,0.682851351422316
5946,"Consider the country of Tanzania. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,0.8228999859379837
2150,"Consider the country of Guinea. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,0.3319436683189124
6221,"Consider the country of Vanuatu. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,No,0.32403997437487125
8928,"Consider the country of Togo. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",No,No,0.8765817383006798
4523,"Consider the country of Peru. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,0.615468396463315
3366,"Consider the country of Liechtenstein. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,No,0.30827690010709924
4652,"Consider the country of Papua New Guinea. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,No,0.519533424487745
5155,"Consider the country of El Salvador. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,No,0.417017384787614
4586,"Consider the country of Philippines. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,0.5084229109828011
8400,"Consider the country of New Zealand. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,Yes,0.7657598765956937
7812,"Consider the country of Kiribati. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,0.7953844045588049
3278,"Consider the country of Liberia. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,0.49935493124602365
5738,"Consider the country of Tonga. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,0.6424964930188726
8913,"Consider the country of Chad. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",Yes,No,0.7398030486426432
8325,"Consider the country of Nicaragua. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,No,0.22816854348237395
1620,"Consider the country of Dominican Republic. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,No,0.4004389531612396
2695,Consider the country of Iraq. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,No,0.711847786922881
2080,Consider the country of Georgia. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,0.5396871551745571
7518,"Consider the country of Guyana. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",No,No,0.9398030486426433
2229,"Consider the country of Guinea Bissau. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,No,0.6079843142890604
3880,"Consider the country of Montenegro. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,No,0.19842291269847193
5803,"Consider the country of Tunisia. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,No,0.7144989818595933
1885,"Consider the country of Finland. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,Yes,0.7389935437750537
2394,"Consider the country of Guyana. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,Yes,0.7868580720257015
5527,"Consider the country of Syria. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,0.4997957436163561
7912,"Consider the country of Libya. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",No,Yes,0.5378067294834182
7427,"Consider the country of Gambia. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,0.6507823423985974
1874,"Consider the country of Finland. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",Yes,Yes,0.9514420320573264
1640,"Consider the country of Algeria. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,0.9289253778674175
7014,"Consider the country of Comoros. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",No,No,0.9012134150943603
1338,"Consider the country of Costa Rica. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,No,0.2762422340755002
274,"Consider the country of Austria. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,Yes,0.6172352078196127
2635,"Consider the country of Ireland. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,Yes,0.5366772723100148
5560,"Consider the country of Chad. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,No,0.5005537521658117
4732,Consider the country of Portugal. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,0.5499407492629252
4427,Consider the country of Oman. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,Yes,No,0.934228636324755
4804,Consider the country of Qatar. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,No,0.5396838288102881
2685,"Consider the country of Iraq. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,No,0.6215274218601989
8978,"Consider the country of Tonga. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,0.8182094087345759
5427,"Consider the country of Sweden. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,Yes,0.6435377217163333
7402,"Consider the country of Guinea. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,0.5025342265830841
6977,"Consider the country of Congo DRC. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,0.8885677208184497
5667,"Consider the country of Turkmenistan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",Yes,No,0.6305608348419773
5130,"Consider the country of Sierra Leone. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,0.8434606467157137
2994,"Consider the country of Kyrgyzstan. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,No,0.3970043146358803
7780,"Consider the country of Kyrgyzstan. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,0.7254989319707383
2462,"Consider the country of Croatia. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,0.7753676510171499
